floor,code,name,weight,event_type,start_node_key,skip_epilogue
1,trap_arrow,矢のトラップ,10,stat_check_random_target,intro,0
1,treasure_chest,宝箱,10,party_choice_stat_check,found,0
1,healing_spring,回復の泉,3,restore_party,intro,0
1,suspicious_spring,あやしい回復の泉,9,taster_choice,intro,0
1,mysterious_presence,謎の気配,8,hidden_boss_rift,intro,0
1,rainbow_spring,虹色の回復の泉,1,restore_party,intro,0
1,gold_pickup,お金取得,10,gold_pickup,react,0
1,flash_flood,鉄砲水,5,stat_check_party_spirit,intro,0
1,man_eating_plant,人喰い植物,5,plant_rescue,react,0
1,trapped_chest,宝箱（トラップあり）,10,trapped_chest_choice,found,0
1,safe_chest,宝箱（無条件）,8,safe_chest,found,0
1,sphinx_quiz,なぞなぞスフィンクス,5,sphinx_quiz,intro,0
1,pitfall,落とし穴,5,stat_check_random_target,intro,0
1,ghost_possession,幽霊の取り憑き,5,spirit_check_random_target,react,0
2,trap_arrow,矢のトラップ,10,stat_check_random_target,intro,0
2,treasure_chest,宝箱,10,party_choice_stat_check,found,0
2,healing_spring,回復の泉,3,restore_party,intro,0
2,suspicious_spring,あやしい回復の泉,9,taster_choice,intro,0
2,mysterious_presence,謎の気配,8,hidden_boss_rift,intro,0
2,rainbow_spring,虹色の回復の泉,1,restore_party,intro,0
2,gold_pickup,お金取得,10,gold_pickup,react,0
2,flash_flood,鉄砲水,5,stat_check_party_spirit,intro,0
2,man_eating_plant,人喰い植物,5,plant_rescue,react,0
2,trapped_chest,宝箱（トラップあり）,10,trapped_chest_choice,found,0
2,safe_chest,宝箱（無条件）,8,safe_chest,found,0
2,sphinx_quiz,なぞなぞスフィンクス,5,sphinx_quiz,intro,0
2,pitfall,落とし穴,5,stat_check_random_target,intro,0
2,ghost_possession,幽霊の取り憑き,5,spirit_check_random_target,react,0
