level,exp_to_next,hp_growth,mp_growth,stat_growth
1,50,0.1,0.05,0.2
2,105,0.05,0.01,0.2
3,166,0.05,0.01,0.10
4,234,0.05,0.01,0.05
5,309,0.05,0.01,0.05
6,392,0.05,0.01,0.05
7,484,0.1,0.02,0.2
8,586,0.03,0.01,0.02
9,699,0.03,0.01,0.02
10,824,0.03,0.01,0.02
11,962,0.03,0.01,0.02
12,1114,0.03,0.01,0.02
13,1282,0.03,0.01,0.02
14,1467,0.03,0.01,0.02
15,1671,0.03,0.01,0.02
16,1896,0.03,0.01,0.02
17,2144,0.03,0.01,0.02
18,2417,0.03,0.01,0.02
19,2718,0.03,0.01,0.02
20,3050,0.03,0.01,0.02
21,3416,0.03,0.01,0.02
22,3819,0.03,0.01,0.02
23,4263,0.03,0.01,0.02
24,4752,0.03,0.01,0.02
25,5290,0.05,0.02,0.02
26,5882,0.05,0.02,0.05
27,6534,0.05,0.02,0.05
28,7252,0.05,0.02,0.05
29,8042,0.05,0.02,0.05
30,8911,0.05,0.02,0.05
31,9867,0.05,0.02,0.05
32,10919,0.05,0.02,0.05
33,12077,0.05,0.02,0.05
34,13351,0.05,0.02,0.05
35,14753,0.05,0.02,0.05
36,16296,0.05,0.02,0.05
37,17994,0.05,0.02,0.05
38,19862,0.05,0.02,0.05
39,21917,0.05,0.02,0.05
40,24178,0.05,0.02,0.05
41,26666,0.05,0.02,0.05
42,29403,0.05,0.02,0.05
43,32414,0.05,0.02,0.05
44,35727,0.05,0.02,0.05
45,39372,0.05,0.02,0.05
46,43382,0.05,0.02,0.05
47,47793,0.05,0.02,0.05
48,52646,0.05,0.02,0.05
49,57985,0.05,0.02,0.05
50,63858,0.05,0.02,0.05
