code,label,description,mp_cost,target_type,effect,element,coefficient,power,buff_key
pc1_heal_water,癒しの水,治癒効果のある水をバシャー。味方一体のHPを回復。,8,ally_single,heal_mag,,,,
pc1_water_blade,水の刃,鋭く固めた水を射出。敵一体にダメージ。,6,enemy_single,damage,water,2.0,,
pc1_water_veil,水の幻影,仲間の隣に幻影を生み出し、敵を惑わせる。3ターンの間味方一体の回避率が上昇。,10,ally_single,buff_evasion_set,,,,evasion_set
pc2_vine_whip,ツルの鞭,木のツルで敵をぶん殴る。敵一体にダメージ。,6,enemy_single,damage,wood,1.9,,
pc2_vine_bind,ツルで縛る,木のツルを纏わせ、敵の動きを鈍らせる。3ターンの間敵一体の防御力を下げる。,9,enemy_single,debuff_def,,,,def_down
pc2_world_tree,宇宙樹の気配,ユグドラシルの息吹を感じる……気がする。味方一体を中確率で蘇生する。,12,ally_single,revive_chance,,,50,
pc3_fire_shot,炎弾,圧縮した火炎をシューッ。敵一体にダメージ。,6,enemy_single,damage,fire,2.1,,
pc3_fire_burst,爆破,炸裂する火炎。敵一体に大ダメージ。,18,enemy_single,damage,fire,2.7,,
pc3_fire_wave,火炎波及,炎の波を繰り出す。敵全体にダメージ。,16,enemy_all,damage,fire,1.5,,
pc4_stone_shot,石弾,生成した石を射出。敵一体にダメージ。,6,enemy_single,damage,earth,1.0,,
pc4_earth_armor,土の鎧,土でできた鎧を仲間に纏わせる。味方一体の防御力を上げる。,10,ally_single,buff_def,,,,def_up
pc4_shield_magic,魔法障壁,隙のない防衛魔法による加護。味方一体が次に受けるダメージを無効化する。,10,ally_single,shield_next,,,,
